Area;Tema;Subtema;Frecuente;Microtema;Fuentes;Estado;Anki;Repasos;FechaEstudio;FechaUltimoRepaso;FechaProximoRepaso;MinutosDedicados
Atencion Primaria;Cardiovascular y riesgo vascular;Hipertension arterial;si;HTA: definicion, cribado y medida correcta de la PA;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Hipertension arterial;si;MAPA / AMPA e HTA de bata blanca y enmascarada;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Hipertension arterial;si;Estudio inicial y busqueda de lesion de organo diana;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Hipertension arterial;si;Tratamiento no farmacologico y objetivos de PA;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Hipertension arterial;si;Escalones de tratamiento farmacologico y combinaciones;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Hipertension arterial;si;HTA resistente y derivacion;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Hipertension arterial;si;Crisis hipertensiva: urgencia vs emergencia;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Dislipemia;si;Cribado lipidico y calculo del riesgo cardiovascular (SCORE2);;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Dislipemia;si;Objetivos de cLDL por categoria de riesgo;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Dislipemia;si;Estatinas: eleccion, potencia y efectos adversos;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Dislipemia;si;Ezetimiba, iPCSK9 y terapia combinada;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Dislipemia;si;Hipertrigliceridemia y dislipemia aterogenica;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Fibrilacion auricular;si;Diagnostico, clasificacion y estudio inicial;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Fibrilacion auricular;si;Anticoagulacion: CHA2DS2-VASc, HAS-BLED y eleccion de ACOD;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Fibrilacion auricular;si;Control de frecuencia vs control de ritmo;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Fibrilacion auricular;si;Seguimiento en AP del paciente anticoagulado;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Insuficiencia cardiaca cronica;no;Diagnostico, peptidos natriureticos y fenotipos (FEr/FElr/FEp);;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Insuficiencia cardiaca cronica;no;Tratamiento de la IC-FEr: las cuatro familias;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Insuficiencia cardiaca cronica;no;Manejo de descompensaciones y ajuste de diureticos;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Insuficiencia cardiaca cronica;no;Seguimiento, educacion y signos de alarma;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Cardiopatia isquemica cronica;no;Angina estable: diagnostico y estratificacion;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Cardiopatia isquemica cronica;no;Tratamiento antianginoso y prevencion secundaria;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Cardiopatia isquemica cronica;no;Antiagregacion y manejo post-SCA en AP;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Enfermedad tromboembolica venosa;no;TVP: probabilidad clinica, dimero D y ecografia;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Enfermedad tromboembolica venosa;no;Tratamiento anticoagulante y duracion;;sin_empezar;no;0;;;;0
Atencion Primaria;Cardiovascular y riesgo vascular;Enfermedad tromboembolica venosa;no;Profilaxis de ETV en el paciente ambulatorio;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Diabetes mellitus tipo 2;si;Cribado, diagnostico y prediabetes;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Diabetes mellitus tipo 2;si;Objetivos de control glucemico individualizados (HbA1c);;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Diabetes mellitus tipo 2;si;Algoritmo de tratamiento: metformina, iSGLT2, arGLP1;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Diabetes mellitus tipo 2;si;Insulinizacion en AP: pautas y titulacion;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Diabetes mellitus tipo 2;si;Cribado y manejo de complicaciones micro y macrovasculares;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Diabetes mellitus tipo 2;si;Pie diabetico: exploracion y prevencion;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Diabetes mellitus tipo 2;si;Hipoglucemia: prevencion y manejo;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Patologia tiroidea;si;Hipotiroidismo primario y subclinico;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Patologia tiroidea;si;Hipertiroidismo: causas y manejo inicial;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Patologia tiroidea;si;Nodulo tiroideo y solicitud de pruebas;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Patologia tiroidea;si;Tiroides y embarazo;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Obesidad;si;Valoracion, comorbilidad y objetivos;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Obesidad;si;Intervencion sobre estilo de vida;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Obesidad;si;Tratamiento farmacologico y criterios de cirugia bariatrica;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Osteoporosis y metabolismo oseo;no;Cribado, FRAX y densitometria;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Osteoporosis y metabolismo oseo;no;Suplementacion de calcio y vitamina D;;sin_empezar;no;0;;;;0
Atencion Primaria;Endocrino y metabolico;Osteoporosis y metabolismo oseo;no;"Bifosfonatos y otros tratamientos; duracion";;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;EPOC;si;Diagnostico espirometrico y valoracion de gravedad (GOLD);;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;EPOC;si;Fenotipos, eosinofilos y eleccion de inhaladores;;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;EPOC;si;Agudizacion de EPOC: manejo ambulatorio;;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;EPOC;si;Oxigenoterapia cronica domiciliaria y rehabilitacion;;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;Asma;si;Diagnostico y confirmacion de la variabilidad;;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;Asma;si;Escalones GINA y terapia con CI-formoterol a demanda;;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;Asma;si;Asma no controlada: revision de tecnica y adherencia;;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;Asma;si;Crisis asmatica: valoracion de gravedad y tratamiento;;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;Tabaquismo;si;Intervencion breve y entrevista motivacional;;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;Tabaquismo;si;Tratamiento farmacologico: TSN, vareniclina, bupropion;;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;Infecciones respiratorias;no;Faringoamigdalitis: criterios de Centor y antibioterapia;;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;Infecciones respiratorias;no;Neumonia adquirida en la comunidad: CRB-65 y tratamiento;;sin_empezar;no;0;;;;0
Atencion Primaria;Respiratorio;Infecciones respiratorias;no;Bronquitis aguda y tos persistente;;sin_empezar;no;0;;;;0
Atencion Primaria;Digestivo;Dispepsia y ERGE;no;Dispepsia no investigada: signos de alarma y test-and-treat;;sin_empezar;no;0;;;;0
Atencion Primaria;Digestivo;Dispepsia y ERGE;no;Helicobacter pylori: diagnostico y pautas de erradicacion;;sin_empezar;no;0;;;;0
Atencion Primaria;Digestivo;Dispepsia y ERGE;no;ERGE: manejo escalonado y deprescripcion de IBP;;sin_empezar;no;0;;;;0
Atencion Primaria;Digestivo;Patologia intestinal;no;Sindrome de intestino irritable: criterios de Roma y manejo;;sin_empezar;no;0;;;;0
Atencion Primaria;Digestivo;Patologia intestinal;no;Enfermedad celiaca: cribado y diagnostico;;sin_empezar;no;0;;;;0
Atencion Primaria;Digestivo;Patologia intestinal;no;Estrenimiento cronico y uso de laxantes;;sin_empezar;no;0;;;;0
Atencion Primaria;Digestivo;Patologia intestinal;no;Sangre oculta en heces y cribado de cancer colorrectal;;sin_empezar;no;0;;;;0
Atencion Primaria;Digestivo;Patologia hepatobiliar;no;Alteracion de la bioquimica hepatica: enfoque;;sin_empezar;no;0;;;;0
Atencion Primaria;Digestivo;Patologia hepatobiliar;no;Higado graso metabolico (MASLD);;sin_empezar;no;0;;;;0
Atencion Primaria;Digestivo;Patologia hepatobiliar;no;Cribado y seguimiento del consumo de alcohol;;sin_empezar;no;0;;;;0
Atencion Primaria;Nefrourologia;Enfermedad renal cronica;si;Deteccion: FG, cociente albumina/creatinina y clasificacion;;sin_empezar;no;0;;;;0
Atencion Primaria;Nefrourologia;Enfermedad renal cronica;si;Nefroproteccion: iSGLT2, IECA/ARA2 y control de PA;;sin_empezar;no;0;;;;0
Atencion Primaria;Nefrourologia;Enfermedad renal cronica;si;Ajuste de farmacos y criterios de derivacion a nefrologia;;sin_empezar;no;0;;;;0
Atencion Primaria;Nefrourologia;Patologia urinaria comun;no;"ITU no complicada y en el varon; ITU recurrente";;sin_empezar;no;0;;;;0
Atencion Primaria;Nefrourologia;Patologia urinaria comun;no;Hematuria: enfoque diagnostico;;sin_empezar;no;0;;;;0
Atencion Primaria;Nefrourologia;Patologia urinaria comun;no;Hiperplasia benigna de prostata: sintomas del tracto urinario inferior;;sin_empezar;no;0;;;;0
Atencion Primaria;Nefrourologia;Patologia urinaria comun;no;Litiasis renal: manejo del colico y prevencion;;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Cefaleas;si;Cefalea: banderas rojas y criterios de neuroimagen;;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Cefaleas;si;Migrana: tratamiento de la crisis y preventivo;;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Cefaleas;si;Cefalea tensional y cefalea por abuso de analgesicos;;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Ictus y prevencion;no;Codigo ictus y reconocimiento precoz;;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Ictus y prevencion;no;Prevencion primaria y secundaria del ictus;;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Ictus y prevencion;no;AIT: estratificacion del riesgo y actuacion;;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Deterioro cognitivo y demencia;no;Valoracion del deterioro cognitivo leve;;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Deterioro cognitivo y demencia;no;Diagnostico diferencial de las demencias;;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Deterioro cognitivo y demencia;no;Manejo de sintomas conductuales y apoyo al cuidador;;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Otros trastornos neurologicos;no;Temblor y enfermedad de Parkinson: aproximacion inicial;;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Otros trastornos neurologicos;no;"Mareo y vertigo: periferico vs central; maniobras";;sin_empezar;no;0;;;;0
Atencion Primaria;Neurologia;Otros trastornos neurologicos;no;Parálisis facial periferica y neuropatias frecuentes;;sin_empezar;no;0;;;;0
Atencion Primaria;Salud mental;Depresion y ansiedad;si;"Deteccion y diagnostico de la depresion; gravedad";;sin_empezar;no;0;;;;0
Atencion Primaria;Salud mental;Depresion y ansiedad;si;Tratamiento: ISRS, seguimiento y duracion;;sin_empezar;no;0;;;;0
Atencion Primaria;Salud mental;Depresion y ansiedad;si;Trastornos de ansiedad: abordaje inicial y derivacion;;sin_empezar;no;0;;;;0
Atencion Primaria;Salud mental;Depresion y ansiedad;si;Riesgo de suicidio: valoracion y actuacion;;sin_empezar;no;0;;;;0
Atencion Primaria;Salud mental;Insomnio y psicofarmacos;si;Insomnio cronico: higiene del sueno y TCC-i;;sin_empezar;no;0;;;;0
Atencion Primaria;Salud mental;Insomnio y psicofarmacos;si;Deprescripcion de benzodiacepinas;;sin_empezar;no;0;;;;0
Atencion Primaria;Salud mental;Insomnio y psicofarmacos;si;Uso racional de hipnoticos;;sin_empezar;no;0;;;;0
Atencion Primaria;Salud mental;Otros;no;Trastorno mental grave: seguimiento compartido;;sin_empezar;no;0;;;;0
Atencion Primaria;Salud mental;Otros;no;Consumo de alcohol y otras adicciones;;sin_empezar;no;0;;;;0
Atencion Primaria;Salud mental;Otros;no;Somatizacion y sintomas sin explicacion medica;;sin_empezar;no;0;;;;0
Atencion Primaria;Infeccioso y vacunas;Vacunacion;si;Calendario del adulto y vacunacion del mayor;;sin_empezar;no;0;;;;0
Atencion Primaria;Infeccioso y vacunas;Vacunacion;si;Vacunas en el paciente cronico e inmunodeprimido;;sin_empezar;no;0;;;;0
Atencion Primaria;Infeccioso y vacunas;Vacunacion;si;Gripe, neumococo, herpes zoster y VRS;;sin_empezar;no;0;;;;0
Atencion Primaria;Infeccioso y vacunas;Infecciones comunes;no;Uso prudente de antibioticos y resistencias;;sin_empezar;no;0;;;;0
Atencion Primaria;Infeccioso y vacunas;Infecciones comunes;no;Infecciones de piel y partes blandas;;sin_empezar;no;0;;;;0
Atencion Primaria;Infeccioso y vacunas;Infecciones comunes;no;Enfermedades de transmision sexual: cribado y tratamiento;;sin_empezar;no;0;;;;0
Atencion Primaria;Infeccioso y vacunas;Infecciones comunes;no;Consejo al viajero y fiebre en el viajero;;sin_empezar;no;0;;;;0
